cityName,airportCode,countryCode,longitude,NoTraffic,airportName,countryName,Closed,latitude,departures,previous_week_dep_percent_change,reference_week_dep_percent_change,date
Torreon,MMTC,MEX,-103.4106694,FALSE,Torreon Intl,Mexico,FALSE,25.56828889,6,-25,-62.5,12/04/2020
Hangzhou,ZSHC,CHN,120.4333333,FALSE,Xiaoshan,China,FALSE,30.22833333,6,-33.33333333,-97.86476868,12/04/2020
Abaco I,MYAM,BHS,-77.08511944,FALSE,Marsh Harbour Intl,Bahamas,FALSE,26.51012778,6,20,-86.66666667,12/04/2020
Aktobe,UATT,KAZ,57.20666667,FALSE,Aktobe,Kazakhstan,FALSE,50.24583333,7,,0,12/04/2020
Chicago,KMDW,USA,-87.752425,TRUE,Chicago Midway Intl,USA,FALSE,41.78598333,16,0,-83.67346939,12/04/2020
Nadi,NFFN,FJI,177.4436111,FALSE,Nadi Intl,Fiji Is,FALSE,-17.75638889,6,20,-95.62043796,12/04/2020
Songkhla,VTSS,THA,100.395,TRUE,Hat Yai Intl,Thailand,FALSE,6.932777778,17,,0,12/04/2020
Bern,LSZB,CHE,7.499166667,FALSE,Belp,Switzerland,FALSE,46.91222222,1,,0,12/04/2020
Martinique,TFFF,MTQ,-60.99638889,FALSE,Aime Cesaire,Martinique,FALSE,14.59222222,6,-25,-90.625,12/04/2020
Memphis,KMEM,USA,-89.97666667,TRUE,Memphis Intl,USA,FALSE,35.04241667,102,-25,-32.45033113,12/04/2020
Vitoria,LEVT,ESP,-2.724444444,FALSE,Vitoria,Spain,FALSE,42.88277778,7,,0,12/04/2020
Bologna,LIPE,ITA,11.29694444,TRUE,Borgo Panigale,Italy,FALSE,44.53083333,528,,0,12/04/2020
Cochabamba,SLCB,BOL,-66.17722222,FALSE,Jorge Wilstermann Intl,Bolivia,FALSE,-17.41833333,1,,0,12/04/2020
Paris,LFPG,FRA,2.547777778,TRUE,Charles-De-Gaulle,France,FALSE,49.00972222,152,-34.48275862,-96.22828784,12/04/2020
Ljubljana,LJLJ,SVN,14.45611111,TRUE,Brnik,Slovenia,FALSE,46.22444444,59,,0,12/04/2020
Budapest,LHBP,HUN,19.26194444,TRUE,Liszt Ferenc Intl,Hungary,FALSE,47.43944444,33,-23.25581395,-96.39737991,12/04/2020
New York,KLGA,USA,-73.87261111,TRUE,LaGuardia,USA,FALSE,40.77725,14,0,-94.75655431,12/04/2020
Karpathos,LGKP,GRC,27.14583333,FALSE,Karpathos,Greece,FALSE,35.42111111,1,,0,12/04/2020
Tenerife-South,GCTS,XJE,-16.5725,FALSE,Reina Sofia,Canary Is,FALSE,28.04444444,3,-40,-99.4,12/04/2020
Kupang,WATT,IDN,123.6638889,FALSE,El Tari,Indonesia,FALSE,-10.17777778,3,,0,12/04/2020
Mugla,LTBS,TUR,28.79138889,TRUE,Dalaman,Turkey,FALSE,36.7125,197,,0,12/04/2020
Innsbruck,LOWI,AUT,11.34388889,TRUE,Innsbruck,Austria,FALSE,47.26027778,33,,0,12/04/2020
Baltimore,KBWI,USA,-76.66899167,TRUE,Baltimore/Washington Intl Thurgood Marshall,USA,FALSE,39.175725,9,-50,-90.72164948,12/04/2020
Naha,ROAH,JPN,127.6458333,FALSE,Naha,Japan,FALSE,26.19583333,3,0,-98.60465116,12/04/2020
Suceava,LRSV,ROU,26.35444444,TRUE,Stefan cel Mare,Romania,FALSE,47.68638889,12,,0,12/04/2020
Brisbane,YBBN,AUS,153.1175,TRUE,Brisbane Intl,Australia,FALSE,-27.38416667,30,7.142857143,-90.99099099,12/04/2020
San Antonio,KSAT,USA,-98.46905556,TRUE,San Antonio Intl,USA,FALSE,29.53395556,8,-11.11111111,-86.8852459,12/04/2020
Quebec,CYQB,CAN,-71.39331111,FALSE,Jean Lesage Intl,Canada,FALSE,46.79119444,3,0,-96.25,12/04/2020
